1	49	-56.61216301805357
2	99	-54.48455882825505
3	149	-58.56995121499079
4	199	-50.19705841907528
5	249	-52.522448020049495
6	299	-57.55410396601659
7	349	-59.0975395797121
8	399	-49.57586404279771
9	449	-56.67958013561739
10	499	-52.62657005463103
11	549	-52.56675433480787
12	599	-53.953358431892234
13	649	-53.04593241054978
14	699	-53.488011933720685
15	749	-57.787971938466086
16	799	-50.109336686089364
17	849	-46.85452276248917
18	899	-53.83871188786205
19	949	-51.94241332046644
20	999	-55.37977078053302
21	1049	-56.81737145911498
22	1099	-45.8792744469059
23	1149	-51.30326025003807
24	1199	-30.214664282408943
25	1249	-23.637207153203313
26	1299	-20.188823905921623
27	1349	-25.913243933857608
28	1399	-17.41969855116297
29	1449	-20.117637599261258
30	1499	-23.229174431834775
31	1549	-19.033585288165984
32	1599	-19.702216564430845
33	1649	-24.927714499994405
34	1699	-18.26246332456139
35	1749	-17.46994844530671
36	1799	-20.005620801305884
37	1849	-18.409133033066063
38	1899	-22.631250392041963
39	1949	-20.06997728192506
40	1999	-14.915532384674561
41	2049	-14.430684015745774
42	2099	-20.02737180337863
43	2149	-10.14264981818055
44	2199	-17.142559578968008
45	2249	-19.060497420982372
46	2299	-16.00288975213523
47	2349	-19.969496644425927
48	2399	-21.75348622927477
49	2449	-19.89523481898086
50	2499	-21.86190688067825
